code,caption_text
DDIlTYNx0Ir,"US actor Colman Domingo has won the top acting prize at the 2024 Gotham Awards, as the Oscars race continues to heat up.
 
Domingo won best actor for his performance in Sing Sing, a film about an educational performing arts programme in a New York prison.
 
The Gotham Awards, held in New York, celebrates independent films. The event is not as big or influential as some others in awards season, but they can indicate early support for certain films in the race.
 
Actress Zendaya was given the spotlight award, which was presented to her by Challengers co-star Josh O'Connor - who likened her talent to that of Dame Maggie Smith.
 
Tap the link in @BBCNews's bio to read more about the winners and nominess. 

(📸 Getty)
 
#GothamAwards #ColmanDomingo #BBCNews"
DDIEGGJM5U1,"Protests have been taking place outside South Korea’s parliament in Seoul, after President Yoon Suk Yeol declared emergency martial law.
 
In a surprise TV address on Tuesday night, he said rule by the military was necessary to protect the country from North Korea’s communist forces and to eliminate anti-state elements. 

Lawmakers have since voted to block the president’s move, after both the ruling party and opposition vowed to obstruct the declaration.
 
But the South Korean military has said it will maintain martial law until it is lifted by President Yoon Suk Yeol, according to the country’s national broadcaster.
 
Tap the link in @BBCNews’s bio to keep up with live updates.

(📷 Getty)

#SouthKorea #Seoul #BBCNews"
DDIAlwRpfKt,"This is the moment South Korea's President Yoon Suk-yeol declared martial law in a surprise, late night televised address.
 
Yoon said the decision was made to remove ""pro-North Korean forces"" from South Korea and to ""protect the free constitutional order"".
 
Lawmakers have since voted to block the president's move, after both the ruling party and opposition vowed to obstruct the declaration.
 
Tap the link in @BBCNews’s bio to keep up with live updates.
 
#SouthKorea #BBCNews"
DDH6juHMQ-q,"Raye has said that Charli xcx was the first musician to be “really, really nice to me.”
 
“I am so proud of that woman,” she added. 
 
The singer-songwriter who made history at this year’s Brit Awards, winning six of the seven prizes she was nominated for, has been featured on this year’s BBC 100 Women list.
 
Head to the @BBCNews’s bio to find out who else appeared on the list.
 
#Raye  #CharliXCX #BBC100women #BBCNews"
DDHuEiDsdwk,"King Charles and the Prince and Princess of Wales delivered a royal welcome for the Emir of Qatar on Tuesday morning, as crowds gathered on the Mall to watch the royal carriage procession and military parade.
 
Queen Camilla was absent from the procession due to ""diminished reserves of energy"" after a chest infection, but will attend events in Buckingham Palace later in the day, including the state banquet.
 
The Princess of Wales won't be at the banquet but it will be the first time Keir Starmer will have been at this diplomatic showcase as UK prime minister.
 
The visit to the UK by Emir Tamim bin Hamad Al Thani and Sheikha Jawaher bint Hamad bin Suhaim Al Thani began on Monday and will last three days. 
 
There have been calls for a peaceful protest against this week's visit by the Peter Tatchell Foundation, which has criticised Qatar's record on LGBT rights, women's rights and the treatment of migrant workers.
 
Tap the link in @BBCNews's bio to read more about the UK's relationship with Qatar and the state visit. 
 
(📸 Getty)
 
#Qatar #RoyalFamily #BBCNews"
DDHg9FfMg8u,"Vietnamese property tycoon Truong My Lan is now in a race for her life after losing her appeal against a death sentence for masterminding the world’s biggest bank fraud.
 
It was a rare and shocking verdict - she is one of very few women in Vietnam to be sentenced to death for a white collar crime.
 
On Tuesday, the court said there was no basis to reduce Truong My Lan's death sentence. However, she could still avoid execution if she returns $9bn, three-quarters of the $12bn she embezzled.
 
Tap the link in @BBCNews’s bio to find out more about her career, and why the verdict is so rare.
 
(📷 Getty)
 
#Vietnam #BBCNews"
DDHVPjAsGk6,"US President Joe Biden has issued an official pardon for his son Hunter, who was set to face sentencing this month on federal felony gun and tax convictions. 
 
In the pardon, President Biden said although he “wrestled” with the decision, he believed that “Hunter was singled out” because he was the son of the president, which was “wrong”. 
 
Republicans have criticised Biden’s decision, after the president previously said he would not pardon his son, whilst President-elect Trump called the pardon an “abuse and miscarriage of justice”. 
 
Hunter Biden pleaded guilty to tax charges in September, and was found guilty in a separate trial in June of being an illegal drug user in possession of a gun. 
 
Tap the link in @BBCNews’s bio to read more analysis on Biden’s pardon. 
 
#JoeBiden #HunterBiden #BBCNews"
DDGIC1YosPw,"Fashionably late.
 
Rihanna and A$AP Rocky stole the red carpet despite turning up later than most of the celebs and models at the Fashion Awards at the Royal Albert Hall in London.
 
Tap the link in @BBCNews’s bio to see which award A$AP Rocky went on to win and the other big winners on the night.
 
#Rihanna #ASAPRocky #FashionAwards #BBCNews"
DDGFcz7oDvs,"Tens of thousands of Georgians have been protesting on the streets in several cities across the country.
 
The past few nights have seen fireworks shot towards riot police on the steps of parliament and a water cannon fired at demonstrators.
 
Tap the link in @BBCNews’s bio for the latest on the protests. 
 
#Georgia #Protests #BBCNews"
DDF5cONxsgy,"Three people have died and at least 32 were taken to hospital in the Philippines after eating an endangered sea turtle cooked in stew.

Officials said dozens of indigenous Teduray people reported symptoms such as diarrhoea, vomiting and abdominal spasms after eating the dish last week in a seaside town in Maguindanao del Norte Province.

While it is illegal to hunt or consume sea turtles under the Philippines’ environmental protection laws, the marine creatures are still eaten as a traditional delicacy in some communities.

But sea turtles that consume contaminated algae - including those that appear healthy - can be toxic when cooked and eaten.

Tap the link in @BBCNews’s bio to find out why sea turtles are still hunted in some cultures.

(📷 Getty)

#Philippines #SeaTurtle #BBCNews"
